"Ingrediente","Categoría","Función","Ideal para","Evitar o cuidar en","Marcas","Notas de seguridad"
"Ácido hialurónico","Humectante","Retener agua y mejorar sensación de hidratación","Deshidratación; Sensibilidad","Ambientes secos si no se sella","Videlca; Ainhoa; Miguett","No sustituye crema si la piel pierde agua"
"Glicerina","Humectante","Atraer agua y apoyar barrera","Deshidratación; Barrera dañada","Irritación si la fórmula completa molesta","","Muy común y útil en fórmulas suaves"
"Pantenol","Calmante","Confort y apoyo de barrera","Sensibilidad; Barrera dañada","Alergia individual","","Útil en protocolos calmantes"
"Niacinamida","Seborregulador","Apoyo cosmético en sebo, tono y barrera","Piel grasa; Manchas; Barrera dañada","Irritación si concentración alta o mala tolerancia","Videlca; Miguett","Introducir con criterio si la piel está reactiva"
"Zinc","Seborregulador","Apoyo en piel grasa","Piel grasa; Acné/comedones","Resequedad si fórmula astringente","Videlca","No resecar en exceso"
"Ácido salicílico","Exfoliante","Ayuda a destapar poros","Piel grasa; Acné/comedones","Embarazo; Fotosensibilidad; Barrera dañada; Rosácea/sensibilidad","","Evitar sobreexfoliación"
"Ácido glicólico","Exfoliante","Textura y luminosidad","Textura; Manchas","Fotosensibilidad; Barrera dañada; Sensibilidad","","Requiere fotoprotección estricta"
"PHA","Exfoliante","Exfoliación más amable","Textura; Sensibilidad leve","Irritación si se combina demasiado","","No mezclar con demasiados activos"
"Vitamina C","Antioxidante","Luminosidad y tono","Manchas; Textura","Rosácea/sensibilidad; Barrera dañada","Videlca; Miguett","Puede arder según fórmula"
"Ceramidas","Emoliente","Apoyo a barrera","Piel seca; Barrera dañada; Sensibilidad","Alergia individual","","Buena opción en reparación"
"Aloe","Calmante","Confort e hidratación ligera","Sensibilidad; Deshidratación","Alergia individual","","No asumir tolerancia universal"
"Arcillas","Seborregulador","Absorber grasa temporalmente","Piel grasa","Piel seca; Barrera dañada","Videlca","No dejar resecar en exceso"
"Péptidos","Antiedad","Apoyo cosmético de firmeza","Edad/flacidez","Expectativas irreales","Ainhoa","No prometer lifting"
"Bakuchiol","Antiedad","Apoyo cosmético suave de textura/edad","Edad/flacidez; Textura","Sensibilidad individual","","Introducir gradualmente"
"Protector solar SPF 30+","Fotoprotector","Reducir daño solar y apoyar manejo de manchas","Manchas; Sensibilidad; Todos","Alergia o mala tolerancia a fórmula","Miguett","Amplio espectro y reaplicación"
